meter_id,city,district,community,timestamp,water_usage,flow_rate,pressure,temperature,status,alarm
HZ000027,杭州,余杭区,良渚文化村,2026-08-02 07:00,0.013,1.1,0.35,29.0,正常,0
HZ000028,杭州,拱墅区,湖墅家园,2026-08-04 18:00,0.094,6.9,0.32,30.6,正常,0
HZ000029,杭州,上城区,丁兰社区,2026-08-07 20:00,0.043,3.5,0.29,29.6,正常,0
HZ000030,杭州,萧山区,北干社区,2026-08-01 02:00,0.005,0.4,0.28,29.3,正常,0
HZ000031,杭州,钱塘区,下沙社区,2026-08-03 02:00,0.025,1.8,0.29,30.9,正常,0
HZ000032,杭州,临平区,南苑小区,2026-08-04 02:00,0.016,1.3,0.34,29.1,正常,0
HZ000033,杭州,西湖区,转塘家园,2026-08-06 17:00,0.115,7.7,0.32,31.0,正常,0
HZ000034,杭州,滨江区,白马湖社区,2026-08-06 17:00,0.096,7.3,0.31,33.9,正常,0
HZ000035,杭州,余杭区,良渚文化村,2026-08-07 16:00,0.373,19.6,0.37,30.5,异常,1
HZ000036,杭州,拱墅区,运河新城社区,2026-08-06 00:00,0.003,0.2,0.31,27.7,正常,0
HZ000037,杭州,上城区,望江新园,2026-08-03 07:00,0.094,6.3,0.37,28.6,正常,0
HZ000038,杭州,萧山区,钱江世纪城社区,2026-08-02 15:00,0.065,5.5,0.33,30.5,正常,0
HZ000039,杭州,钱塘区,下沙社区,2026-08-03 02:00,0.025,1.7,0.37,27.7,正常,0
HZ000040,杭州,临平区,乔司家园,2026-08-05 13:00,0.112,7.6,0.38,30.5,正常,0
HZ000041,杭州,西湖区,三墩新天地,2026-08-02 12:00,0.061,5.6,0.38,32.6,正常,0
HZ000042,杭州,滨江区,江南花园,2026-08-06 21:00,0.117,7.5,0.37,30.3,正常,0
HZ000043,杭州,余杭区,良渚文化村,2026-08-02 16:00,0.113,10.1,0.35,33.2,正常,0
HZ000044,杭州,拱墅区,湖墅家园,2026-08-07 08:00,0.044,3.6,0.37,30.9,正常,0
HZ000045,杭州,上城区,近江家园,2026-08-04 12:00,0.111,8.2,0.37,32.5,正常,0
HZ000046,杭州,萧山区,钱江世纪城社区,2026-08-03 20:00,0.129,8.3,0.49,30.0,异常,1
HZ000047,杭州,钱塘区,江东家园,2026-08-04 17:00,0.048,3.4,0.34,30.2,正常,0
HZ000048,杭州,临平区,南苑小区,2026-08-06 19:00,0.078,6.9,0.33,30.0,正常,0
HZ000049,杭州,西湖区,三墩新天地,2026-08-05 07:00,0.042,2.7,0.34,28.8,正常,0
HZ000050,杭州,滨江区,江南花园,2026-08-05 10:00,0.114,9.4,0.37,27.9,正常,0
HZ000051,杭州,余杭区,未来科技城社区,2026-08-05 22:00,0.058,5.6,0.38,30.5,正常,0
HZ000052,杭州,拱墅区,大关小区,2026-08-02 14:00,0.020,1.7,0.32,33.5,正常,0
HZ000053,杭州,上城区,丁兰社区,2026-08-05 20:00,0.029,2.5,0.30,29.9,正常,0
HZ000054,杭州,萧山区,湘湖家园,2026-08-02 10:00,0.135,10.4,0.32,30.4,正常,0
HZ000055,杭州,钱塘区,下沙社区,2026-08-03 06:00,0.102,8.4,0.38,28.4,正常,0
HZ000056,杭州,临平区,塘栖人家,2026-08-02 06:00,0.033,2.3,0.36,28.1,正常,0
HZ000057,杭州,西湖区,文新社区,2026-08-01 19:00,0.033,2.1,0.31,29.6,正常,0
HZ000058,杭州,滨江区,滨康小区,2026-08-03 05:00,0.008,0.5,0.31,27.8,正常,0
HZ000059,杭州,余杭区,未来科技城社区,2026-08-02 14:00,0.048,3.1,0.30,30.2,正常,0
HZ000060,杭州,拱墅区,大关小区,2026-08-06 05:00,0.003,0.3,0.29,29.7,正常,0
HZ000061,杭州,上城区,望江新园,2026-08-06 03:00,0.029,2.3,0.37,28.4,正常,0
HZ000062,杭州,萧山区,钱江世纪城社区,2026-08-06 20:00,0.109,8.7,0.28,30.6,正常,0
HZ000063,杭州,钱塘区,大学城北社区,2026-08-06 00:00,0.024,1.7,0.35,27.6,正常,0
HZ000064,杭州,临平区,乔司家园,2026-08-04 02:00,0.013,1.2,0.38,28.1,正常,0
HZ000065,杭州,西湖区,转塘家园,2026-08-01 18:00,0.072,6.3,0.28,27.3,正常,0
HZ000066,杭州,滨江区,滨康小区,2026-08-05 05:00,0.016,1.3,0.32,28.9,正常,0
HZ000067,杭州,余杭区,仓前家园,2026-08-02 12:00,0.035,2.5,0.30,33.8,正常,0
HZ000068,杭州,拱墅区,大关小区,2026-08-03 01:00,0.017,1.6,0.28,30.9,正常,0
HZ000069,杭州,上城区,丁兰社区,2026-08-03 00:00,0.020,1.7,0.37,28.6,正常,0
HZ000070,杭州,萧山区,湘湖家园,2026-08-02 18:00,0.067,4.7,0.38,30.2,正常,0
HZ000071,杭州,钱塘区,大学城北社区,2026-08-05 08:00,0.066,5.3,0.35,27.2,正常,0
HZ000072,杭州,临平区,星桥社区,2026-08-07 14:00,0.070,6.3,0.30,31.7,正常,0
HZ000073,杭州,西湖区,转塘家园,2026-08-01 19:00,0.018,1.5,0.31,30.3,正常,0
HZ000074,杭州,滨江区,钱塘春晓,2026-08-01 22:00,0.061,4.7,0.34,29.6,正常,0
HZ000075,杭州,余杭区,未来科技城社区,2026-08-01 19:00,0.052,4.0,0.31,27.4,正常,0
HZ000076,杭州,拱墅区,半山家园,2026-08-06 17:00,0.112,7.2,0.30,31.9,正常,0
HZ000077,杭州,上城区,丁兰社区,2026-08-01 19:00,0.096,9.4,0.38,27.1,正常,0
HZ000078,杭州,萧山区,北干社区,2026-08-02 17:00,0.135,9.8,0.32,30.4,正常,0
HZ000079,杭州,钱塘区,河庄新苑,2026-08-05 02:00,0.024,1.9,0.30,30.7,正常,0
HZ000080,杭州,临平区,星桥社区,2026-08-03 20:00,0.039,3.8,0.38,28.3,正常,0
HZ000081,杭州,西湖区,转塘家园,2026-08-07 14:00,0.068,5.1,0.38,32.7,正常,0
HZ000082,杭州,滨江区,钱塘春晓,2026-08-02 21:00,0.021,1.4,0.38,28.2,正常,0
HZ000083,杭州,余杭区,闲林山水,2026-08-05 03:00,0.021,2.1,0.34,28.9,正常,0
HZ000084,杭州,拱墅区,运河新城社区,2026-08-04 15:00,0.098,7.5,0.35,30.5,正常,0
HZ000085,杭州,上城区,望江新园,2026-08-03 14:00,0.051,4.7,0.34,32.7,正常,0
HZ000086,杭州,萧山区,北干社区,2026-08-05 13:00,0.083,8.0,0.35,30.4,正常,0
HZ000087,杭州,钱塘区,下沙社区,2026-08-07 11:00,0.068,5.2,0.37,30.4,正常,0
HZ000088,杭州,临平区,星桥社区,2026-08-05 17:00,0.070,4.9,0.55,31.0,异常,1
HZ000089,杭州,西湖区,翠苑小区,2026-08-04 03:00,0.009,0.8,0.39,30.0,正常,0
HZ000090,杭州,滨江区,白马湖社区,2026-08-04 01:00,0.025,1.8,0.37,29.8,正常,0
HZ000091,杭州,余杭区,闲林山水,2026-08-01 06:00,0.235,15.5,0.30,29.2,异常,1
HZ000092,杭州,拱墅区,半山家园,2026-08-07 05:00,0.033,2.3,0.14,28.9,异常,1
HZ000093,杭州,上城区,丁兰社区,2026-08-01 09:00,0.056,4.7,0.31,29.5,正常,0
HZ000094,杭州,萧山区,北干社区,2026-08-07 18:00,0.068,4.4,0.34,29.0,正常,0
HZ000095,杭州,钱塘区,下沙社区,2026-08-03 16:00,0.063,4.5,0.37,32.8,正常,0
HZ000096,杭州,临平区,南苑小区,2026-08-06 20:00,0.047,3.2,0.33,28.0,正常,0
HZ000097,杭州,西湖区,转塘家园,2026-08-04 00:00,0.010,0.8,0.35,28.7,正常,0
HZ000098,杭州,滨江区,滨康小区,2026-08-01 06:00,0.049,4.3,0.38,29.2,正常,0
HZ000099,杭州,余杭区,未来科技城社区,2026-08-05 15:00,0.080,6.6,0.38,31.3,正常,0
HZ000100,杭州,拱墅区,大关小区,2026-08-06 01:00,0.021,1.4,0.34,27.9,正常,0
HZ000101,杭州,上城区,望江新园,2026-08-04 08:00,0.082,6.2,0.31,29.9,正常,0
HZ000102,杭州,萧山区,宁围佳境,2026-08-02 07:00,0.040,3.6,0.34,30.5,正常,0
HZ000103,杭州,钱塘区,大学城北社区,2026-08-05 09:00,0.044,4.4,0.33,27.9,正常,0
HZ000104,杭州,临平区,南苑小区,2026-08-05 07:00,0.110,10.5,0.34,29.4,正常,0
HZ000105,杭州,西湖区,文新社区,2026-08-07 09:00,0.125,7.8,0.28,27.5,正常,0
HZ000106,杭州,滨江区,白马湖社区,2026-08-01 05:00,0.013,0.9,0.32,29.1,正常,0
HZ000107,杭州,余杭区,良渚文化村,2026-08-07 22:00,0.081,6.5,0.30,28.4,正常,0
HZ000108,杭州,拱墅区,湖墅家园,2026-08-05 19:00,0.123,9.2,0.36,27.1,正常,0
HZ000109,杭州,上城区,望江新园,2026-08-01 07:00,0.141,9.5,0.28,28.3,正常,0
HZ000110,杭州,萧山区,钱江世纪城社区,2026-08-04 03:00,0.005,0.4,0.31,31.0,正常,0
HZ000111,杭州,钱塘区,江东家园,2026-08-05 17:00,0.043,3.0,0.29,30.1,正常,0
HZ000112,杭州,临平区,乔司家园,2026-08-01 04:00,0.003,0.2,0.28,29.6,正常,0
HZ000113,杭州,西湖区,翠苑小区,2026-08-02 22:00,0.049,3.9,0.37,27.6,正常,0
HZ000114,杭州,滨江区,白马湖社区,2026-08-01 04:00,0.023,1.8,0.52,29.8,异常,1
HZ000115,杭州,余杭区,仓前家园,2026-08-01 17:00,0.101,6.6,0.30,30.6,正常,0
HZ000116,杭州,拱墅区,大关小区,2026-08-03 08:00,0.115,7.2,0.38,29.8,正常,0
HZ000117,杭州,上城区,采荷小区,2026-08-04 06:00,0.038,2.5,0.31,27.5,正常,0
HZ000118,杭州,萧山区,湘湖家园,2026-08-04 08:00,0.048,3.3,0.29,29.6,正常,0
HZ000119,杭州,钱塘区,江东家园,2026-08-07 13:00,0.053,3.7,0.29,30.4,正常,0
HZ000120,杭州,临平区,南苑小区,2026-08-02 14:00,0.101,8.4,0.35,33.0,正常,0
HZ000121,杭州,西湖区,文新社区,2026-08-05 18:00,0.071,6.0,0.35,29.0,正常,0
HZ000122,杭州,滨江区,江南花园,2026-08-03 02:00,0.024,1.8,0.17,28.6,异常,1
HZ000123,杭州,余杭区,未来科技城社区,2026-08-05 02:00,0.034,2.1,0.32,30.0,正常,0
HZ000124,杭州,拱墅区,运河新城社区,2026-08-05 22:00,0.019,1.3,0.48,27.3,异常,1
HZ000125,杭州,上城区,丁兰社区,2026-08-03 17:00,0.123,8.4,0.29,32.2,正常,0
HZ000126,杭州,萧山区,宁围佳境,2026-08-02 16:00,0.126,7.9,0.39,33.6,正常,0
HZ000127,杭州,钱塘区,河庄新苑,2026-08-02 19:00,0.079,7.8,0.36,28.6,正常,0
HZ000128,杭州,临平区,塘栖人家,2026-08-03 14:00,0.011,1.0,0.28,31.9,正常,0
HZ000129,杭州,西湖区,转塘家园,2026-08-03 00:00,0.023,1.7,0.39,27.1,正常,0
HZ000130,杭州,滨江区,江南花园,2026-08-04 06:00,0.036,3.5,0.33,29.0,正常,0
HZ000131,杭州,余杭区,未来科技城社区,2026-08-04 07:00,0.043,4.0,0.37,27.6,正常,0
HZ000132,杭州,拱墅区,湖墅家园,2026-08-02 05:00,0.032,2.2,0.31,30.6,正常,0
HZ000133,杭州,上城区,望江新园,2026-08-02 19:00,0.054,3.7,0.31,27.7,正常,0
HZ000134,杭州,萧山区,钱江世纪城社区,2026-08-03 03:00,0.024,1.7,0.30,30.9,正常,0
HZ000135,杭州,钱塘区,江东家园,2026-08-04 21:00,0.080,5.1,0.38,29.5,正常,0
HZ000136,杭州,临平区,南苑小区,2026-08-06 06:00,0.082,5.1,0.36,28.3,正常,0
HZ000137,杭州,西湖区,三墩新天地,2026-08-06 00:00,0.002,0.2,0.29,30.0,正常,0
HZ000138,杭州,滨江区,白马湖社区,2026-08-01 19:00,0.032,2.5,0.31,30.2,正常,0
HZ000139,杭州,余杭区,未来科技城社区,2026-08-05 19:00,0.055,5.3,0.32,30.4,正常,0
HZ000140,杭州,拱墅区,大关小区,2026-08-01 14:00,0.042,3.2,0.33,31.5,正常,0
HZ000141,杭州,上城区,望江新园,2026-08-07 08:00,0.009,0.8,0.33,28.3,正常,0
HZ000142,杭州,萧山区,钱江世纪城社区,2026-08-05 14:00,0.023,1.8,0.28,33.0,正常,0
HZ000143,杭州,钱塘区,大学城北社区,2026-08-06 13:00,0.104,7.6,0.33,33.5,正常,0
HZ000144,杭州,临平区,塘栖人家,2026-08-05 18:00,0.068,6.5,0.28,31.0,正常,0
HZ000145,杭州,西湖区,三墩新天地,2026-08-06 19:00,0.047,3.7,0.32,27.6,正常,0
HZ000146,杭州,滨江区,滨康小区,2026-08-03 13:00,0.028,2.4,0.29,31.4,正常,0
HZ000147,杭州,余杭区,仓前家园,2026-08-04 14:00,0.063,5.4,0.31,30.6,正常,0
HZ000148,杭州,拱墅区,湖墅家园,2026-08-05 13:00,0.057,5.6,0.32,30.9,正常,0
HZ000149,杭州,上城区,近江家园,2026-08-06 15:00,0.052,3.6,0.29,32.1,正常,0
HZ000150,杭州,萧山区,钱江世纪城社区,2026-08-05 23:00,0.015,1.1,0.36,27.7,正常,0
HZ000151,杭州,钱塘区,河庄新苑,2026-08-06 10:00,0.450,23.8,0.33,28.8,异常,1
HZ000152,杭州,临平区,南苑小区,2026-08-03 16:00,0.020,1.4,0.30,32.2,正常,0
HZ000153,杭州,西湖区,三墩新天地,2026-08-03 22:00,0.075,5.3,0.36,29.7,正常,0
HZ000154,杭州,滨江区,钱塘春晓,2026-08-01 18:00,0.015,1.1,0.32,30.7,正常,0
HZ000155,杭州,余杭区,良渚文化村,2026-08-02 15:00,0.089,7.5,0.36,30.6,正常,0
HZ000156,杭州,拱墅区,运河新城社区,2026-08-01 21:00,0.023,2.1,0.38,30.6,正常,0
HZ000157,杭州,上城区,近江家园,2026-08-02 13:00,0.045,3.5,0.37,30.7,正常,0
HZ000158,杭州,萧山区,宁围佳境,2026-08-04 10:00,0.065,4.2,0.39,28.7,正常,0
HZ000159,杭州,钱塘区,下沙社区,2026-08-05 01:00,0.025,2.3,0.39,29.3,正常,0
HZ000160,杭州,临平区,星桥社区,2026-08-01 00:00,0.029,1.8,0.33,30.7,正常,0
HZ000161,杭州,西湖区,翠苑小区,2026-08-06 19:00,0.027,2.5,0.37,29.6,正常,0
HZ000162,杭州,滨江区,江南花园,2026-08-04 06:00,0.015,1.0,0.29,27.5,正常,0
HZ000163,杭州,余杭区,未来科技城社区,2026-08-05 19:00,0.115,7.9,0.37,30.1,正常,0
HZ000164,杭州,拱墅区,大关小区,2026-08-01 02:00,0.028,2.2,0.53,30.2,异常,1
HZ000165,杭州,上城区,采荷小区,2026-08-02 11:00,0.121,8.6,0.31,32.1,正常,0
HZ000166,杭州,萧山区,宁围佳境,2026-08-03 06:00,0.088,8.6,0.34,27.8,正常,0
HZ000167,杭州,钱塘区,河庄新苑,2026-08-04 17:00,0.018,1.5,0.33,31.7,正常,0
HZ000168,杭州,临平区,乔司家园,2026-08-01 22:00,0.112,10.1,0.29,27.4,正常,0
HZ000169,杭州,西湖区,三墩新天地,2026-08-04 22:00,0.051,3.6,0.31,28.9,正常,0
HZ000170,杭州,滨江区,白马湖社区,2026-08-06 02:00,0.025,1.7,0.35,29.4,正常,0
HZ000171,杭州,余杭区,良渚文化村,2026-08-02 10:00,0.101,8.3,0.34,28.2,正常,0
HZ000172,杭州,拱墅区,大关小区,2026-08-07 10:00,0.071,7.1,0.33,28.8,正常,0
HZ000173,杭州,上城区,近江家园,2026-08-02 13:00,0.039,2.9,0.39,32.5,正常,0
HZ000174,杭州,萧山区,湘湖家园,2026-08-05 22:00,0.032,2.5,0.30,29.4,正常,0
HZ000175,杭州,钱塘区,河庄新苑,2026-08-01 14:00,0.126,8.6,0.29,32.8,正常,0
HZ000176,杭州,临平区,乔司家园,2026-08-02 20:00,0.082,7.9,0.39,28.5,正常,0
HZ000177,杭州,西湖区,翠苑小区,2026-08-05 16:00,0.015,1.0,0.29,31.3,正常,0
HZ000178,杭州,滨江区,钱塘春晓,2026-08-07 22:00,0.089,8.1,0.35,29.7,正常,0
HZ000179,杭州,余杭区,未来科技城社区,2026-08-07 12:00,0.012,1.2,0.39,31.1,正常,0
HZ000180,杭州,拱墅区,湖墅家园,2026-08-03 08:00,0.064,6.3,0.38,27.1,正常,0
HZ000181,杭州,上城区,采荷小区,2026-08-06 00:00,0.246,16.4,0.36,28.1,异常,1
HZ000182,杭州,萧山区,钱江世纪城社区,2026-08-02 03:00,0.004,0.3,0.32,28.5,正常,0
HZ000183,杭州,钱塘区,大学城北社区,2026-08-07 19:00,0.054,3.9,0.39,27.9,正常,0
HZ000184,杭州,临平区,星桥社区,2026-08-07 23:00,0.088,7.4,0.39,30.8,正常,0
HZ000185,杭州,西湖区,三墩新天地,2026-08-07 21:00,0.014,1.2,0.33,30.0,正常,0
HZ000186,杭州,滨江区,江南花园,2026-08-03 14:00,0.092,8.5,0.35,33.6,正常,0
HZ000187,杭州,余杭区,仓前家园,2026-08-01 02:00,0.015,1.4,0.35,28.1,正常,0
HZ000188,杭州,拱墅区,半山家园,2026-08-05 15:00,0.117,8.8,0.35,33.1,正常,0
HZ000189,杭州,上城区,丁兰社区,2026-08-04 19:00,0.077,5.4,0.29,27.6,正常,0
HZ000190,杭州,萧山区,钱江世纪城社区,2026-08-05 13:00,0.043,3.3,0.33,31.3,正常,0
HZ000191,杭州,钱塘区,大学城北社区,2026-08-04 03:00,0.022,1.4,0.32,28.8,正常,0
HZ000192,杭州,临平区,塘栖人家,2026-08-01 20:00,0.075,5.4,0.35,30.5,正常,0
HZ000193,杭州,西湖区,转塘家园,2026-08-03 11:00,0.036,3.3,0.30,34.0,正常,0
HZ000194,杭州,滨江区,江南花园,2026-08-04 13:00,0.056,4.6,0.38,33.8,正常,0
HZ000195,杭州,余杭区,未来科技城社区,2026-08-07 21:00,0.063,4.3,0.35,30.0,正常,0
HZ000196,杭州,拱墅区,大关小区,2026-08-01 11:00,0.019,1.4,0.39,32.0,正常,0
HZ000197,杭州,上城区,丁兰社区,2026-08-06 01:00,0.001,0.1,0.36,27.6,正常,0
HZ000198,杭州,萧山区,宁围佳境,2026-08-04 03:00,0.014,1.2,0.28,28.0,正常,0
HZ000199,杭州,钱塘区,下沙社区,2026-08-06 04:00,0.028,2.1,0.36,29.8,正常,0
HZ000200,杭州,临平区,星桥社区,2026-08-05 18:00,0.064,4.3,0.51,27.2,异常,1
HZ000201,杭州,西湖区,转塘家园,2026-08-01 07:00,0.077,6.5,0.37,30.4,正常,0
HZ000202,杭州,滨江区,白马湖社区,2026-08-04 11:00,0.051,5.0,0.30,30.7,正常,0
HZ000203,杭州,余杭区,闲林山水,2026-08-06 23:00,0.110,7.1,0.34,27.2,正常,0
HZ000204,杭州,拱墅区,半山家园,2026-08-03 12:00,0.019,1.6,0.19,30.3,异常,1
HZ000205,杭州,上城区,望江新园,2026-08-03 06:00,0.115,9.3,0.36,28.1,正常,0
HZ000206,杭州,萧山区,北干社区,2026-08-02 17:00,0.047,4.4,0.30,32.3,正常,0
HZ000207,杭州,钱塘区,下沙社区,2026-08-05 18:00,0.098,9.2,0.33,30.8,正常,0
HZ000208,杭州,临平区,南苑小区,2026-08-03 21:00,0.113,10.4,0.39,27.1,正常,0
HZ000209,杭州,西湖区,文新社区,2026-08-04 20:00,0.061,5.9,0.30,28.5,正常,0
HZ000210,杭州,滨江区,滨康小区,2026-08-03 09:00,0.055,3.7,0.34,27.2,正常,0
HZ000211,杭州,余杭区,未来科技城社区,2026-08-05 23:00,0.109,9.8,0.32,27.5,正常,0
HZ000212,杭州,拱墅区,湖墅家园,2026-08-01 07:00,0.107,7.9,0.28,29.1,正常,0
HZ000213,杭州,上城区,丁兰社区,2026-08-03 08:00,0.141,9.7,0.34,28.4,正常,0
HZ000214,杭州,萧山区,钱江世纪城社区,2026-08-02 07:00,0.106,9.7,0.38,30.0,正常,0
HZ000215,杭州,钱塘区,下沙社区,2026-08-06 13:00,0.072,6.4,0.34,30.8,正常,0
HZ000216,杭州,临平区,乔司家园,2026-08-04 10:00,0.095,8.5,0.31,30.8,正常,0
HZ000217,杭州,西湖区,文新社区,2026-08-04 18:00,0.088,7.3,0.31,30.7,正常,0
HZ000218,杭州,滨江区,白马湖社区,2026-08-04 16:00,0.126,8.3,0.28,32.9,正常,0
HZ000219,杭州,余杭区,仓前家园,2026-08-05 13:00,0.108,10.1,0.29,30.7,正常,0
HZ000220,杭州,拱墅区,半山家园,2026-08-01 21:00,0.085,8.4,0.32,28.5,正常,0
HZ000221,杭州,上城区,丁兰社区,2026-08-01 17:00,0.069,5.3,0.34,30.1,正常,0
HZ000222,杭州,萧山区,宁围佳境,2026-08-01 04:00,0.017,1.2,0.32,28.6,正常,0
HZ000223,杭州,钱塘区,江东家园,2026-08-06 11:00,0.091,7.5,0.31,32.7,正常,0
HZ000224,杭州,临平区,南苑小区,2026-08-04 07:00,0.089,8.8,0.32,30.4,正常,0
HZ000225,杭州,西湖区,三墩新天地,2026-08-06 03:00,0.016,1.1,0.36,27.4,正常,0
HZ000226,杭州,滨江区,钱塘春晓,2026-08-07 04:00,0.019,1.3,0.35,27.2,正常,0
HZ000227,杭州,余杭区,仓前家园,2026-08-03 18:00,0.389,20.8,0.28,30.7,异常,1
HZ000228,杭州,拱墅区,半山家园,2026-08-05 09:00,0.013,1.2,0.15,29.2,异常,1
HZ000229,杭州,上城区,望江新园,2026-08-03 16:00,0.050,3.2,0.33,30.4,正常,0
HZ000230,杭州,萧山区,北干社区,2026-08-06 15:00,0.129,10.4,0.35,32.9,正常,0
HZ000231,杭州,钱塘区,河庄新苑,2026-08-07 18:00,0.115,8.9,0.37,28.6,正常,0
HZ000232,杭州,临平区,乔司家园,2026-08-01 01:00,0.026,1.7,0.29,27.2,正常,0
HZ000233,杭州,西湖区,转塘家园,2026-08-03 10:00,0.106,8.0,0.38,30.9,正常,0
HZ000234,杭州,滨江区,滨康小区,2026-08-02 06:00,0.013,1.0,0.33,29.2,正常,0
HZ000235,杭州,余杭区,闲林山水,2026-08-05 15:00,0.115,9.1,0.31,33.2,正常,0
HZ000236,杭州,拱墅区,大关小区,2026-08-07 19:00,0.062,5.3,0.31,28.3,正常,0
HZ000237,杭州,上城区,丁兰社区,2026-08-01 01:00,0.020,1.5,0.39,28.7,正常,0
HZ000238,杭州,萧山区,钱江世纪城社区,2026-08-02 20:00,0.049,4.3,0.38,28.9,正常,0
HZ000239,杭州,钱塘区,大学城北社区,2026-08-07 20:00,0.093,6.4,0.33,27.2,正常,0
HZ000240,杭州,临平区,乔司家园,2026-08-02 17:00,0.111,7.0,0.32,31.7,正常,0
HZ000241,杭州,西湖区,文新社区,2026-08-04 10:00,0.091,6.6,0.37,30.5,正常,0
HZ000242,杭州,滨江区,白马湖社区,2026-08-03 15:00,0.109,10.4,0.33,33.5,正常,0
HZ000243,杭州,余杭区,未来科技城社区,2026-08-02 18:00,0.309,20.9,0.34,30.3,异常,1
HZ000244,杭州,拱墅区,运河新城社区,2026-08-03 02:00,0.012,1.0,0.39,29.3,正常,0
HZ000245,杭州,上城区,采荷小区,2026-08-01 23:00,0.151,10.2,0.33,28.3,正常,0
HZ000246,杭州,萧山区,宁围佳境,2026-08-01 10:00,0.115,7.8,0.28,29.0,正常,0
HZ000247,杭州,钱塘区,大学城北社区,2026-08-06 03:00,0.009,0.7,0.34,27.0,正常,0
HZ000248,杭州,临平区,塘栖人家,2026-08-04 00:00,0.006,0.6,0.28,28.2,正常,0
HZ000249,杭州,西湖区,文新社区,2026-08-04 14:00,0.049,4.2,0.30,31.1,正常,0
HZ000250,杭州,滨江区,钱塘春晓,2026-08-04 23:00,0.043,2.8,0.30,30.4,正常,0
HZ000251,杭州,余杭区,闲林山水,2026-08-04 15:00,0.089,6.8,0.35,32.1,正常,0
HZ000252,杭州,拱墅区,运河新城社区,2026-08-05 04:00,0.027,1.8,0.30,29.5,正常,0
HZ000253,杭州,上城区,采荷小区,2026-08-05 09:00,0.108,10.1,0.36,27.1,正常,0
HZ000254,杭州,萧山区,北干社区,2026-08-01 05:00,0.008,0.7,0.29,30.9,正常,0
HZ000255,杭州,钱塘区,江东家园,2026-08-04 00:00,0.019,1.6,0.37,29.5,正常,0
HZ000256,杭州,临平区,南苑小区,2026-08-02 07:00,0.106,10.0,0.29,27.8,正常,0
HZ000257,杭州,西湖区,翠苑小区,2026-08-07 10:00,0.039,3.4,0.34,27.1,正常,0
HZ000258,杭州,滨江区,钱塘春晓,2026-08-02 18:00,0.099,6.5,0.35,29.3,正常,0
HZ000259,杭州,余杭区,良渚文化村,2026-08-02 15:00,0.013,0.8,0.37,30.2,正常,0
HZ000260,杭州,拱墅区,运河新城社区,2026-08-07 15:00,0.054,3.7,0.35,30.6,正常,0
